Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19362969582.3643,..
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,511432475534.156,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,72672245387.0863,..
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2.4210000038147,2.38499999046326
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,1.05599999427795,1.03699994087219
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.54200005531311,1.51900005340576
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386,..
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,42.3311983623682,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.58492693988024,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15102500898.238,..
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,1513259270000,..
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38306694289.2319,..
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,13.1319999694824,13.331000328064
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,14.4519996643066,14.4090003967285
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.8979997634888,13.956000328064
Albania,ALB,"Population, total",SP.POP.TOTL,2866376,..
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.5063925379807,..
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.46866,..
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,13.7447359109736,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,173757952824.25,..
Algeria,DZA,GDP (constant LCU),NY.GDP.MKTP.KN,6123376375970.86,..
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,653771569286.319,..
Algeria,DZA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,21.32200050354,21.1019992828369
Algeria,DZA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.1379995346069,10.4270000457764
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.1450004577637,12.3489999771118
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429,..
Algeria,DZA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.78230990288061,..
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Algeria,DZA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.36249654497986,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,636000000,..
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,608000000,..
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..
American Samoa,ASM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..
