MSSubClass,LotArea,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,SaleCondition,SalePrice
60,8450,Norm,1Fam,2Story,7,5,856,Y,856,854,1710,1,0,2,1,3,8,0,2,548,2,Normal,208500
20,9600,Feedr,1Fam,1Story,6,8,1262,Y,1262,0,1262,0,1,2,0,3,6,1,2,460,5,Normal,181500
60,11250,Norm,1Fam,2Story,7,5,920,Y,920,866,1786,1,0,2,1,3,6,1,2,608,9,Normal,223500
70,9550,Norm,1Fam,2Story,7,5,756,Y,961,756,1717,1,0,1,0,3,7,1,3,642,2,Abnorml,140000
60,14260,Norm,1Fam,2Story,8,5,1145,Y,1145,1053,2198,1,0,2,1,4,9,1,3,836,12,Normal,250000
50,14115,Norm,1Fam,1.5Fin,5,5,796,Y,796,566,1362,1,0,1,1,1,5,0,2,480,10,Normal,143000
20,10084,Norm,1Fam,1Story,8,5,1686,Y,1694,0,1694,1,0,2,0,3,7,1,2,636,8,Normal,307000
60,10382,PosN,1Fam,2Story,7,6,1107,Y,1107,983,2090,1,0,2,1,3,7,2,2,484,11,Normal,200000
50,6120,Artery,1Fam,1.5Fin,7,5,952,Y,1022,752,1774,0,0,2,0,2,8,2,2,468,4,Abnorml,129900
190,7420,Artery,2fmCon,1.5Unf,5,6,991,Y,1077,0,1077,1,0,1,0,2,5,2,1,205,1,Normal,118000
20,11200,Norm,1Fam,1Story,5,5,1040,Y,1040,0,1040,1,0,1,0,3,5,0,1,384,2,Normal,129500
60,11924,Norm,1Fam,2Story,9,5,1175,Y,1182,1142,2324,1,0,3,0,4,11,2,3,736,7,Partial,345000
20,12968,Norm,1Fam,1Story,5,6,912,Y,912,0,912,1,0,1,0,2,4,0,1,352,9,Normal,144000
20,10652,Norm,1Fam,1Story,7,5,1494,Y,1494,0,1494,0,0,2,0,3,7,1,3,840,8,Partial,279500
20,10920,Norm,1Fam,1Story,6,5,1253,Y,1253,0,1253,1,0,1,1,2,5,1,1,352,5,Normal,157000
45,6120,Norm,1Fam,1.5Unf,7,8,832,Y,854,0,854,0,0,1,0,2,5,0,2,576,7,Normal,132000
20,11241,Norm,1Fam,1Story,6,7,1004,Y,1004,0,1004,1,0,1,0,2,5,1,2,480,3,Normal,149000
90,10791,Norm,Duplex,1Story,4,5,0,Y,1296,0,1296,0,0,2,0,2,6,0,2,516,10,Normal,90000
20,13695,RRAe,1Fam,1Story,5,5,1114,Y,1114,0,1114,1,0,1,1,3,6,0,2,576,6,Normal,159000
20,7560,Norm,1Fam,1Story,5,6,1029,Y,1339,0,1339,0,0,1,0,3,6,0,1,294,5,Abnorml,139000
60,14215,Norm,1Fam,2Story,8,5,1158,Y,1158,1218,2376,0,0,3,1,4,9,1,3,853,11,Partial,325300
45,7449,Norm,1Fam,1.5Unf,7,7,637,Y,1108,0,1108,0,0,1,0,3,6,1,1,280,6,Normal,139400
20,9742,Norm,1Fam,1Story,8,5,1777,Y,1795,0,1795,0,0,2,0,3,7,1,2,534,9,Normal,230000
120,4224,Norm,TwnhsE,1Story,5,7,1040,Y,1060,0,1060,1,0,1,0,3,6,1,2,572,6,Normal,129900
20,8246,Norm,1Fam,1Story,5,8,1060,Y,1060,0,1060,1,0,1,0,3,6,1,1,270,5,Normal,154000
20,14230,Norm,1Fam,1Story,8,5,1566,Y,1600,0,1600,0,0,2,0,3,7,1,3,890,7,Normal,256300
20,7200,Norm,1Fam,1Story,5,7,900,Y,900,0,900,0,1,1,0,3,5,0,2,576,5,Normal,134800
20,11478,Norm,1Fam,1Story,8,5,1704,Y,1704,0,1704,1,0,2,0,3,7,1,3,772,5,Normal,306000
20,16321,Norm,1Fam,1Story,5,6,1484,Y,1600,0,1600,1,0,1,0,2,6,2,1,319,12,Normal,207500
30,6324,Feedr,1Fam,1Story,4,6,520,N,520,0,520,0,0,1,0,1,4,0,1,240,5,Normal,68500
70,8500,Feedr,1Fam,2Story,4,4,649,N,649,668,1317,0,0,1,0,3,6,0,1,250,7,Normal,40000
20,8544,Norm,1Fam,1Story,5,6,1228,Y,1228,0,1228,0,0,1,1,3,6,0,1,271,6,Normal,149350
20,11049,Norm,1Fam,1Story,8,5,1234,Y,1234,0,1234,0,0,2,0,3,7,0,2,484,1,Normal,179900
20,10552,Norm,1Fam,1Story,5,5,1398,Y,1700,0,1700,0,1,1,1,4,6,1,2,447,4,Normal,165500
120,7313,Norm,TwnhsE,1Story,9,5,1561,Y,1561,0,1561,1,0,2,0,2,6,1,2,556,8,Normal,277500
60,13418,Norm,1Fam,2Story,8,5,1117,Y,1132,1320,2452,0,0,3,1,4,9,1,3,691,9,Normal,309000
20,10859,Norm,1Fam,1Story,5,5,1097,Y,1097,0,1097,0,0,1,1,3,6,0,2,672,6,Normal,145000
20,8532,Norm,1Fam,1Story,5,6,1297,Y,1297,0,1297,0,1,1,0,3,5,1,2,498,10,Normal,153000
20,7922,Norm,1Fam,1Story,5,7,1057,Y,1057,0,1057,1,0,1,0,3,5,0,1,246,1,Abnorml,109000
90,6040,Norm,Duplex,1Story,4,5,0,N,1152,0,1152,0,0,2,0,2,6,0,0,0,6,AdjLand,82000
20,8658,Norm,1Fam,1Story,6,5,1088,Y,1324,0,1324,0,0,2,0,3,6,1,2,440,12,Abnorml,160000
20,16905,Norm,1Fam,1Story,5,6,1350,Y,1328,0,1328,0,1,1,1,2,5,2,1,308,7,Normal,170000
85,9180,Norm,1Fam,SFoyer,5,7,840,Y,884,0,884,1,0,1,0,2,5,0,2,504,12,Normal,144000
20,9200,Norm,1Fam,1Story,5,6,938,Y,938,0,938,1,0,1,0,3,5,0,1,308,7,Normal,130250
20,7945,Norm,1Fam,1Story,5,6,1150,Y,1150,0,1150,1,0,1,0,3,6,0,1,300,5,Normal,141000
120,7658,Norm,TwnhsE,1Story,9,5,1752,Y,1752,0,1752,1,0,2,0,2,6,1,2,576,2,Normal,319900
50,12822,Norm,1Fam,1.5Fin,7,5,1434,Y,1518,631,2149,1,0,1,1,1,6,1,2,670,8,Abnorml,239686
20,11096,Norm,1Fam,1Story,8,5,1656,Y,1656,0,1656,0,0,2,0,3,7,0,3,826,7,Normal,249700
190,4456,Norm,2fmCon,2Story,4,5,736,Y,736,716,1452,0,0,2,0,2,8,0,0,0,6,Partial,113000
20,7742,Norm,1Fam,1Story,5,7,955,Y,955,0,955,1,0,1,0,3,6,0,1,386,1,Normal,127000
60,13869,Norm,1Fam,2Story,6,6,794,Y,794,676,1470,0,1,2,0,3,6,0,2,388,7,Normal,177000
50,6240,Norm,1Fam,1.5Fin,6,6,816,Y,816,0,1176,0,0,1,0,3,6,1,2,528,9,Normal,114500
90,8472,RRNn,Duplex,1Story,5,5,816,N,816,0,816,1,0,1,0,2,5,0,2,516,5,Normal,110000
20,50271,Norm,1Fam,1Story,9,5,1842,Y,1842,0,1842,2,0,0,1,0,5,1,3,894,11,Normal,385000
80,7134,Norm,1Fam,SLvl,5,5,384,Y,1360,0,1360,0,0,1,0,3,6,1,2,572,2,Normal,130000
20,10175,Norm,1Fam,1Story,6,5,1425,Y,1425,0,1425,0,0,2,0,3,7,1,2,576,7,Normal,180500
160,2645,Norm,Twnhs,2Story,8,5,970,Y,983,756,1739,1,0,2,1,3,7,0,2,480,8,Abnorml,172500
